oneTeam,url,two,twoTeam,one
"Tahm Kench,Kindred,Syndra,Yasuo,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385967558&summonerId=54692988&gameTime=1539787809,(Blue Team),"Irelia,Lee Sin,LeBlanc,Lucian,Pyke",(Red Team)
"Akali,Gragas,Aatrox,Jhin,Tahm Kench",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384876375&summonerId=54692988&gameTime=1539709267,(Blue Team),"Irelia,Jarvan IV,Lissandra,Kai'Sa,Janna",(Red Team)
"Renekton,Nidalee,Aatrox,Vladimir,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384879483&summonerId=54692988&gameTime=1539711403,(Red Team),"Jayce,Taliyah,Akali,Yasuo,Rakan",(Blue Team)
"Xin Zhao,Aatrox,Kai'Sa,Urgot,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385765168&summonerId=54692988&gameTime=1539776839,(Red Team),"Pantheon,Akali,Lucian,Ryze,Shen",(Blue Team)
"Urgot,Nidalee,Ryze,Vayne,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370782306&summonerId=41913808&gameTime=1538750663,(Blue Team),"Jax,Camille,Ekko,Ezreal,Gragas",(Red Team)
"Sion,Nidalee,Aatrox,Lucian,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385032127&summonerId=54692988&gameTime=1539713063,(Blue Team),"Urgot,Taliyah,Swain,Yasuo,Alistar",(Red Team)
"Lucian,Urgot,Aatrox,Nidalee,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384901853&summonerId=54692988&gameTime=1539707002,(Red Team),"Kled,Gragas,Irelia,Taliyah,Miss Fortune",(Blue Team)
"Shen,Jarvan IV,Irelia,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384795123&summonerId=54692988&gameTime=1539705323,(Red Team),"Viktor,Lee Sin,Syndra,Ezreal,Morgana",(Blue Team)
"Rakan,Irelia,Xayah,Poppy,Xin Zhao",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370801800&summonerId=41913808&gameTime=1538752361,(Blue Team),"Ekko,Rengar,Alistar,Gangplank,Ryze",(Red Team)
"Taric,Kha'Zix,Lucian,Vel'Koz,Graves",http://www.op.gg/summoner/matches/ajax/detail/gameId=3387351173&summonerId=57541180&gameTime=1539917513,(Blue Team),"Orianna,Mordekaiser,Ornn,Tristana,Karma",(Red Team)
"Poppy,Xin Zhao,Akali,Ezreal,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384697716&summonerId=54692988&gameTime=1539702227,(Blue Team),"Kennen,Taliyah,Galio,Heimerdinger,Morgana",(Red Team)
"Ezreal,Rakan,Katarina,Lee Sin,Camille",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385599589&summonerId=54692988&gameTime=1539764465,(Blue Team),"Malphite,Taliyah,Gragas,Zed,Lucian",(Red Team)
"Singed,Vladimir,Xayah,Graves,Karma",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386101347&summonerId=57541180&gameTime=1539795564,(Blue Team),"Zilean,Hecarim,LeBlanc,Yasuo,Gnar",(Red Team)
"Akali,Camille,Irelia,Ezreal,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384017395&summonerId=54692988&gameTime=1539626117,(Red Team),"Urgot,Gragas,Zoe,Lucian,Thresh",(Blue Team)
"Jhin,Camille,Gragas,Galio,Malphite",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384024788&summonerId=54692988&gameTime=1539623394,(Red Team),"Poppy,Alistar,Kai'Sa,Aatrox,Jayce",(Blue Team)
