'gameid','gametype','blue','red','resulta','url'
'3213143289','Ranked Solo','Fiora,Rek''Sai,Karthus,Kai''Sa,Karma','Aatrox,Graves,Irelia,Caitlyn,Morgana','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213143289&summonerId=56951349&gameTime=1526959593'
'3213300482','Ranked Solo','Camille,Jax,Lulu,Kog''Maw,Janna','Gangplank,Skarner,Zoe,Kai''Sa,Soraka','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213300482&summonerId=25260179&gameTime=1526969082'
'3213303801','Ranked Solo','Zilean,Alistar,Camille,Xin Zhao,Kai''Sa','Jax,Braum,Kog''Maw,Vladimir,Wukong','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213303801&summonerId=56921556&gameTime=1526969773'
'3213351188','Ranked Solo','Vladimir,Zilean,Xin Zhao,Caitlyn,Jayce','Kennen,Gragas,Ezreal,Lulu,Kha''Zix','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213351188&summonerId=56921556&gameTime=1526972050'
'3213502322','Ranked Solo','Nautilus,Lulu,Xin Zhao,Jax,Kai''Sa','Vayne,Lee Sin,Singed,Janna,Irelia','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213502322&summonerId=41913808&gameTime=1526978722'
'3213507205','Ranked Solo','Singed,Trundle,Talon,Xayah,Rakan','Irelia,Kha''Zix,Vladimir,Jhin,Shen','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213507205&summonerId=64250795&gameTime=1526980451'
'3213517067','Ranked Solo','Irelia,Camille,Braum,Vladimir,Caitlyn','Janna,Ezreal,Lulu,Jax,Darius','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213517067&summonerId=41913808&gameTime=1526980381'
'3213554014','Ranked Solo','Camille,Dr. Mundo,Kassadin,Kennen,Janna','Singed,Graves,Vladimir,Kalista,Fiddlesticks','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=64250795&gameTime=1526982387'
'3213554014','Ranked Solo','Camille,Dr. Mundo,Kassadin,Kennen,Janna','Singed,Graves,Vladimir,Kalista,Fiddlesticks','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=64250795&gameTime=1526982387'
'3213554014','Ranked Solo','Camille,Dr. Mundo,Kassadin,Kennen,Janna','Singed,Graves,Vladimir,Kalista,Fiddlesticks','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=56951349&gameTime=1526982387'
'3213554014','Ranked Solo','Camille,Dr. Mundo,Kassadin,Kennen,Janna','Singed,Graves,Vladimir,Kalista,Fiddlesticks','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213554014&summonerId=56951349&gameTime=1526982387'
'3213560261','Ranked Solo','Ezreal,Camille,Soraka,Evelynn,Ekko','Talon,Skarner,Thresh,Draven,Ornn','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213560261&summonerId=25260179&gameTime=1526981051'
'3213589280','Ranked Solo','Ezreal,Morgana,Gangplank,Yasuo,Xin Zhao','Karma,Miss Fortune,Caitlyn,Kha''Zix,Jax','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213589280&summonerId=25260179&gameTime=1526984543'
'3213675191','Ranked Solo','Talon,Kha''Zix,Ornn,Jhin,Alistar','Gangplank,Graves,Zoe,Caitlyn,Thresh','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213675191&summonerId=64250795&gameTime=1526988474'
'3213683056','Ranked Solo','Singed,Camille,Yasuo,Ezreal,Alistar','Dr. Mundo,Graves,Zilean,Vayne,Leona','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213683056&summonerId=25260179&gameTime=1526987567'
'3213730081','Ranked Solo','Kassadin,Camille,Twitch,Soraka,Jax','Jayce,Graves,Alistar,Ezreal,LeBlanc','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213730081&summonerId=25260179&gameTime=1526989507'
'3213738108','Ranked Solo','Aatrox,Kindred,Zoe,Ezreal,Braum','Sion,Kha''Zix,Kassadin,Kog''Maw,Morgana','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213738108&summonerId=25260179&gameTime=1526991411'
'3213787004','Ranked Solo','Ornn,Kha''Zix,Karma,Ezreal,Tahm Kench','Irelia,Camille,Kassadin,Caitlyn,Morgana','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213787004&summonerId=25260179&gameTime=1526994299'
'3213819986','Ranked Solo','Jax,Nidalee,Lulu,Ezreal,Karma','Illaoi,Camille,Galio,Ashe,Zilean','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213819986&summonerId=56921556&gameTime=1526996842'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738'
'3213829186','Ranked Solo','Aatrox,Nocturne,Lulu,Lucian,Karma','Renekton,Trundle,Cho''Gath,Ezreal,Nautilus','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738'
'3213879176','Ranked Solo','Morgana,Trundle,Ryze,Jhin,Zoe','Caitlyn,Graves,Jax,Leona,Irelia','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213879176&summonerId=25260179&gameTime=1527000026'
'3213957930','Ranked Solo','Vladimir,Camille,Malzahar,Kai''Sa,Alistar','Ornn,Kha''Zix,Galio,Ezreal,Rakan','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213957930&summonerId=25260179&gameTime=1527002205'
'3213997894','Ranked Solo','Alistar,Graves,Vladimir,Vayne,Cho''Gath','Ezreal,Camille,Dr. Mundo,Morgana,Aurelion Sol','1','http://www.op.gg/summoner/matches/ajax/detail/gameId=3213997894&summonerId=64250795&gameTime=1527004550'
'3214003241','Ranked Solo','Xin Zhao,Alistar,Vladimir,Caitlyn,Illaoi','Skarner,Urgot,Leona,Anivia,Jhin','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3214003241&summonerId=64250795&gameTime=1527003267'
'3214010160','Ranked Solo','Lulu,Graves,Malphite,Kai''Sa,Shen','Xayah,Yasuo,Xin Zhao,Zoe,Alistar','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=66800151&gameTime=1527002427'
'3214010160','Ranked Solo','Lulu,Graves,Malphite,Kai''Sa,Shen','Xayah,Yasuo,Xin Zhao,Zoe,Alistar','0','http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=66800151&gameTime=1527002427'
