url,two,one,oneTeam,result,twoTeam
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331514643&summonerId=36990696&gameTime=1536058582,(Red Team),(Blue Team),"Tryndamere,Gragas,Jhin,Karma,LeBlanc",Defeat,"Taliyah,Syndra,Morgana,Lucian,Darius"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3333086721&summonerId=41913808&gameTime=1536172536,(Blue Team),(Red Team),"Ryze,Braum,LeBlanc,Kai'Sa,Graves",Victory,"Lee Sin,Alistar,Jayce,Kassadin,Yasuo"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3333260109&summonerId=41913808&gameTime=1536218002,(Blue Team),(Red Team),"Sion,Trundle,Syndra,Ezreal,Pyke",Defeat,"Camille,Gragas,Jayce,Jinx,Thresh"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331490569&summonerId=36990696&gameTime=1536056583,(Blue Team),(Red Team),"Aatrox,Syndra,Soraka,Sivir,Camille",Defeat,"Jayce,Taliyah,Ezreal,Braum,Poppy"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331328806&summonerId=36990696&gameTime=1536045856,(Blue Team),(Red Team),"Vladimir,Rakan,Miss Fortune,Jax,Taliyah",Defeat,"Varus,Shen,Ryze,Yasuo,Gragas"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3265091322&summonerId=66800151&gameTime=1530963767,(Blue Team),(Red Team),"Orianna,Camille,Yasuo,Quinn,Alistar",Defeat,"Xin Zhao,Soraka,Swain,Vladimir,Jax"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331316929&summonerId=36990696&gameTime=1536041502,(Blue Team),(Red Team),"Renekton,Lee Sin,Morgana,Lux,Kai'Sa",Victory,"Camille,Gragas,Yasuo,Varus,Bard"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3333169429&summonerId=41913808&gameTime=1536208884,(Red Team),(Blue Team),"Irelia,Aatrox,Taliyah,Ryze,Morgana",Defeat,"Shen,Yasuo,Xin Zhao,Gragas,Ezreal"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331170081&summonerId=36990696&gameTime=1535997069,(Blue Team),(Red Team),"Kai'Sa,Nidalee,Poppy,Alistar,Zilean",Defeat,"Yasuo,Gragas,Gangplank,Orianna,Kindred"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331142554&summonerId=36990696&gameTime=1535993091,(Blue Team),(Red Team),"Urgot,Lee Sin,Vel'Koz,Varus,Taric",Defeat,"Gangplank,Kindred,Ryze,Kai'Sa,Tahm Kench"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331172054&summonerId=36990696&gameTime=1535999403,(Blue Team),(Red Team),"Lulu,Trundle,Akali,Xayah,Pyke",Victory,"Poppy,Kled,Galio,Kai'Sa,Rakan"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330833572&summonerId=36990696&gameTime=1535974540,(Blue Team),(Red Team),"Gragas,Lee Sin,Kassadin,Pyke,Kai'Sa",Defeat,"Twitch,Soraka,Shen,LeBlanc,Graves"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331334924&summonerId=36990696&gameTime=1536043323,(Red Team),(Blue Team),"Leona,Nidalee,Sivir,Ryze,Yasuo",Defeat,"Jayce,Veigar,Irelia,Xayah,Taliyah"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330344482&summonerId=36990696&gameTime=1535959290,(Blue Team),(Red Team),"Urgot,Lee Sin,Gragas,Kalista,Akali",Defeat,"Cho'Gath,Galio,Xayah,Rakan,Kayn"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330918754&summonerId=36990696&gameTime=1535979553,(Blue Team),(Red Team),"Ezreal,Darius,Graves,Kassadin,Pyke",Defeat,"Gragas,Swain,Karthus,Kennen,Akali"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331096730&summonerId=36990696&gameTime=1535990693,(Red Team),(Blue Team),"Vayne,Taliyah,Ryze,Poppy,Rakan",Defeat,"Kled,Tahm Kench,Ezreal,Aatrox,Zoe"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331145542&summonerId=36990696&gameTime=1535994854,(Blue Team),(Red Team),"Rumble,Olaf,Irelia,Miss Fortune,Poppy",Defeat,"Jayce,Taliyah,Renekton,Tristana,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306682391&summonerId=64250795&gameTime=1534155212,(Red Team),(Blue Team),"Akali,Soraka,Kindred,Lucian,Renekton",Victory,"Ezreal,Nidalee,Karma,Jayce,Talon"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330306716&summonerId=36990696&gameTime=1535955165,(Blue Team),(Red Team),"Poppy,Gragas,Vladimir,Caitlyn,Morgana",Defeat,"Darius,Lee Sin,Ahri,Varus,Pyke"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306650632&summonerId=64250795&gameTime=1534151587,(Red Team),(Blue Team),"Pyke,Graves,Twisted Fate,Kai'Sa,Kennen",Victory,"Caitlyn,Karma,Shen,Urgot,Taliyah"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331524805&summonerId=36990696&gameTime=1536060696,(Blue Team),(Red Team),"Akali,Kindred,Kassadin,Caitlyn,Braum",Victory,"Gangplank,Gragas,Galio,Kai'Sa,Tahm Kench"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306665070&summonerId=64250795&gameTime=1534153528,(Red Team),(Blue Team),"Camille,Kai'Sa,Shen,Vladimir,Irelia",Defeat,"Zoe,Gangplank,Akali,Kindred,Cho'Gath"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330309407&summonerId=36990696&gameTime=1535957356,(Red Team),(Blue Team),"Swain,Ryze,Gragas,Alistar,Gangplank",Defeat,"Caitlyn,Rumble,Camille,Morgana,Vladimir"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3331296837&summonerId=36990696&gameTime=1536039428,(Blue Team),(Red Team),"Ryze,Irelia,Taliyah,Soraka,Camille",Defeat,"Gnar,Lee Sin,LeBlanc,Ezreal,Blitzcrank"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306447270&summonerId=64250795&gameTime=1534138922,(Red Team),(Blue Team),"Gangplank,Camille,Ryze,Orianna,Tahm Kench",Victory,"Vladimir,Xin Zhao,Irelia,Kai'Sa,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306602955&summonerId=64250795&gameTime=1534148451,(Red Team),(Blue Team),"Kindred,Irelia,Gangplank,Orianna,Shen",Defeat,"Ryze,Alistar,Kai'Sa,Poppy,Evelynn"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306450542&summonerId=64250795&gameTime=1534136356,(Red Team),(Blue Team),"Jayce,Irelia,Kindred,Swain,Shen",Defeat,"Camille,Gragas,Jhin,Tahm Kench,LeBlanc"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330158118&summonerId=36990696&gameTime=1535914647,(Blue Team),(Red Team),"Renekton,Trundle,Zoe,Lucian,Zilean",Defeat,"Kennen,Lee Sin,LeBlanc,Tristana,Dr. Mundo"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306503006&summonerId=64250795&gameTime=1534142094,(Red Team),(Blue Team),"Talon,Rakan,Camille,Fiora,Kai'Sa",Victory,"Zoe,Leona,Evelynn,Jayce,Malphite"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306616714&summonerId=64250795&gameTime=1534149888,(Blue Team),(Red Team),"Jayce,Caitlyn,Ryze,Kindred,Braum",Defeat,"Taliyah,Sion,Shen,Gnar,Evelynn"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3305609539&summonerId=64250795&gameTime=1534076424,(Blue Team),(Red Team),"Jayce,Graves,LeBlanc,Xayah,Rakan",Defeat,"Camille,Nidalee,Ryze,Varus,Tahm Kench"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3330155137&summonerId=36990696&gameTime=1535912018,(Blue Team),(Red Team),"Gangplank,Gragas,Alistar,Yasuo,LeBlanc",Defeat,"Ryze,Taliyah,Irelia,Thresh,Ashe"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306499147&summonerId=64250795&gameTime=1534143590,(Blue Team),(Red Team),"Gangplank,Taliyah,Aurelion Sol,Irelia,Shen",Defeat,"Renekton,Xin Zhao,Akali,Kai'Sa,Gragas"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3306411496&summonerId=64250795&gameTime=1534131281,(Blue Team),(Red Team),"Gnar,Zac,Syndra,Ezreal,Tahm Kench",Defeat,"Jarvan IV,Rengar,Twisted Fate,Kai'Sa,Braum"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3305726265&summonerId=64250795&gameTime=1534080059,(Red Team),(Blue Team),"Sejuani,Ezreal,Kennen,Kassadin,Shen",Victory,"Trundle,Urgot,Pyke,Ryze,LeBlanc"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3304834133&summonerId=64250795&gameTime=1534007010,(Red Team),(Blue Team),"Cho'Gath,Camille,Zoe,Miss Fortune,Tahm Kench",Defeat,"Kennen,Xin Zhao,Talon,Kai'Sa,Alistar"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3304899792&summonerId=64250795&gameTime=1534014471,(Red Team),(Blue Team),"Jayce,Taliyah,Orianna,Ezreal,Zilean",Defeat,"Cho'Gath,Graves,Irelia,Ashe,Nami"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3304780340&summonerId=64250795&gameTime=1534002723,(Red Team),(Blue Team),"Pyke,Ezreal,Malphite,Talon,Nocturne",Victory,"Jhin,Tahm Kench,Jayce,Taliyah,Quinn"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3305668610&summonerId=64250795&gameTime=1534078109,(Blue Team),(Red Team),"Ezreal,Alistar,Fiora,LeBlanc,Lee Sin",Victory,"Jhin,Shen,Irelia,Taliyah,Ryze"
