"gameid","gametype","blue","red","resulta","url","SPLIT_STR(blue,',', 1)","SPLIT_STR(blue,',', 2)","SPLIT_STR(blue,',', 3)","SPLIT_STR(blue,',', 4)","SPLIT_STR(blue,',', 5)","SPLIT_STR(red,',',1)","SPLIT_STR(red,',',2)","SPLIT_STR(red,',',3)","SPLIT_STR(red,',',4)","SPLIT_STR(red,',',5)"
"3213738108","Ranked Solo","Aatrox,Kindred,Zoe,Ezreal,Braum","Sion,Kha'Zix,Kassadin,Kog'Maw,Morgana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213738108&summonerId=25260179&gameTime=1526991411","Aatrox","Kindred","Zoe","Ezreal","Braum","Sion","Kha'Zix","Kassadin","Kog'Maw","Morgana"
"3213787004","Ranked Solo","Ornn,Kha'Zix,Karma,Ezreal,Tahm Kench","Irelia,Camille,Kassadin,Caitlyn,Morgana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213787004&summonerId=25260179&gameTime=1526994299","Ornn","Kha'Zix","Karma","Ezreal","Tahm Kench","Irelia","Camille","Kassadin","Caitlyn","Morgana"
"3213819986","Ranked Solo","Jax,Nidalee,Lulu,Ezreal,Karma","Illaoi,Camille,Galio,Ashe,Zilean","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213819986&summonerId=56921556&gameTime=1526996842","Jax","Nidalee","Lulu","Ezreal","Karma","Illaoi","Camille","Galio","Ashe","Zilean"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=66800151&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=25260179&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
"3213829186","Ranked Solo","Aatrox,Nocturne,Lulu,Lucian,Karma","Renekton,Trundle,Cho'Gath,Ezreal,Nautilus","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213829186&summonerId=64250795&gameTime=1526996738","Aatrox","Nocturne","Lulu","Lucian","Karma","Renekton","Trundle","Cho'Gath","Ezreal","Nautilus"
